name,artist,tags,genre,valence,energy,danceability,acousticness,tempo,spotify_preview_url,spotify_id,tags_list,mood_tags,mood_text
Shake Your Rump,Beastie Boys,"dance, 80s, rap, hip_hop, funk",Rap,0.674,0.627,0.895,0.0194,103.112,https://p.scdn.co/mp3-preview/cabe7a5c509cb8dfa01b181e9c8e0e6ec59e6a2b?cid=774b29d4f13844c495f206cafdad9c86,4RvprQhj7Ov1SFQ3HfO7FH,"['dance', '80s', 'rap', 'hip_hop', 'funk']",['dance'],dance
Who Dat,Young Jeezy,"rap, hip_hop",Reggae,0.564,0.949,0.462,0.0838,77.874,https://p.scdn.co/mp3-preview/553763dca32f204b55724d1a04f5e63301c10b9c?cid=774b29d4f13844c495f206cafdad9c86,2oiOmCvbNPgz0lZ7FhUq4v,"['rap', 'hip_hop']",[],
Role Model,Eminem,"rap, 90s, hip_hop",,0.776,0.589,0.865,0.0218,91.968,https://p.scdn.co/mp3-preview/d6f2fb24ad56e4ea603f156cf184dbe2e2703691?cid=774b29d4f13844c495f206cafdad9c86,0EtirusGt3LivUmALXSMVe,"['rap', '90s', 'hip_hop']",[],
Workout Plan,Kanye West,"rap, hip_hop, american",Rap,0.72,0.291,0.754,0.869,85.048,https://p.scdn.co/mp3-preview/7f80df17e20f6d4fef0eaed0f85519b2b99e5abf?cid=774b29d4f13844c495f206cafdad9c86,1XebohGnO5EP32NnqMBKRP,"['rap', 'hip_hop', 'american']",[],
Temptations,2Pac,"rap, 90s, hip_hop",,0.707,0.665,0.782,0.135,90.709,https://p.scdn.co/mp3-preview/f732ab341194ae10b57fe2d55ce00a76de782cbe?cid=774b29d4f13844c495f206cafdad9c86,1PU3Hy2uNXmWGDe9gh4Ukb,"['rap', '90s', 'hip_hop']",[],
Excursions,A Tribe Called Quest,"rap, 90s, hip_hop",,0.707,0.608,0.885,0.386,95.748,https://p.scdn.co/mp3-preview/e3629c251444a6fe562d2eb15af076ff5355df87?cid=774b29d4f13844c495f206cafdad9c86,4tEaytMs86hIaOSsiGoLcP,"['rap', '90s', 'hip_hop']",[],
Ho,Ludacris,"rap, hip_hop",,0.333,0.68,0.701,0.284,96.862,https://p.scdn.co/mp3-preview/911236f12beb7128377c1a040c19b1ac8bde8ccc?cid=774b29d4f13844c495f206cafdad9c86,1EsSm8qaR9Wtm1OgZXKi2n,"['rap', 'hip_hop']",[],
Hey Ladies,Beastie Boys,"80s, rap, hip_hop, funk",Rap,0.716,0.64,0.943,0.247,101.835,https://p.scdn.co/mp3-preview/586eb0fc5ae2afb02d453c3a10848e3bfd561307?cid=774b29d4f13844c495f206cafdad9c86,1X3U53BiZuDRTzz3XCQZnR,"['80s', 'rap', 'hip_hop', 'funk']",[],
Addiction,Kanye West,"rap, hip_hop, 00s",,0.551,0.756,0.659,0.185,115.391,https://p.scdn.co/mp3-preview/a49841a678a48be7f2c0ec207152415409dbfff0?cid=774b29d4f13844c495f206cafdad9c86,3f1o0oNItlKW2ytABYWKtk,"['rap', 'hip_hop', '00s']",[],
Crazy World,Young Jeezy,"rap, hip_hop",,0.147,0.737,0.625,0.101,153.954,https://p.scdn.co/mp3-preview/f2d966d9813796804c901e1d8b4efb1998d24614?cid=774b29d4f13844c495f206cafdad9c86,0gqqmKySJJoAmBvfWZrFlG,"['rap', 'hip_hop']",[],
School Spirit,Kanye West,"rap, hip_hop",Rap,0.647,0.803,0.507,0.287,86.295,https://p.scdn.co/mp3-preview/40de4a5111b83dda42ba35334ef0f19ee0efcf6f?cid=774b29d4f13844c495f206cafdad9c86,1g1zk6gOFE63kDszT1luxY,"['rap', 'hip_hop']",[],
Always Strapped,Birdman,"rap, hip_hop",,0.43,0.608,0.664,0.0693,82.481,https://p.scdn.co/mp3-preview/f993af12f9637a3da8325c988ad31c5c250ced08?cid=774b29d4f13844c495f206cafdad9c86,0kRo6T6JEEQmTI7cFnYaKh,"['rap', 'hip_hop']",[],
So Many Tears,2Pac,"rap, 90s, hip_hop",,0.415,0.903,0.541,0.0178,93.078,https://p.scdn.co/mp3-preview/0663cee48a1ff613e781316a58cbc88c718d51fc?cid=774b29d4f13844c495f206cafdad9c86,09IR230sfc8R06W06wakwO,"['rap', '90s', 'hip_hop']",[],
Pretty Girls,Wale,"rap, hip_hop",,0.715,0.912,0.579,0.107,88.969,https://p.scdn.co/mp3-preview/78df187ced64d0ef27f35518edbb5005148fd8a4?cid=774b29d4f13844c495f206cafdad9c86,0gRTuf1p6EB119Fpin307E,"['rap', 'hip_hop']",[],
Heard 'Em Say,Kanye West,"rap, hip_hop, piano, 00s, mellow",Rap,0.639,0.681,0.692,0.0581,94.981,https://p.scdn.co/mp3-preview/8c5449ec595e46ed4bcb66543bdb2906ef1399ff?cid=774b29d4f13844c495f206cafdad9c86,0dU7xLPDI059t0NzyuDWRV,"['rap', 'hip_hop', 'piano', '00s', 'mellow']",['mellow'],mellow
Get By,Talib Kweli,"rap, hip_hop",,0.775,0.928,0.662,0.00324,90.509,https://p.scdn.co/mp3-preview/d36a9f192152eb354f1a5e6b56ce6e8e40683aed?cid=774b29d4f13844c495f206cafdad9c86,1LM6EReMkAxuDXDF26ekl2,"['rap', 'hip_hop']",[],
Going Through Changes,Eminem,"rap, hip_hop, chill",Rock,0.319,0.899,0.693,0.0197,86.048,https://p.scdn.co/mp3-preview/1c307cffb0ef7683b4b0e67eee75e5a9c5d18de1?cid=774b29d4f13844c495f206cafdad9c86,0ZqWBTU1EkdVPAMwQgfKiv,"['rap', 'hip_hop', 'chill']",['chill'],chill
Hip-Hop,dead prez,"rap, hip_hop",,0.192,0.543,0.584,0.000637,78.221,https://p.scdn.co/mp3-preview/b244164a80491621350d4fd822ae3e55d57d2c78?cid=774b29d4f13844c495f206cafdad9c86,0NabGvWifdiqmcjHINODJJ,"['rap', 'hip_hop']",[],
Guilt Trip,Kanye West,"rap, hip_hop, american",,0.597,0.658,0.435,0.154,138.764,https://p.scdn.co/mp3-preview/133ecc31d56cd94f02e66594693689d161273c7a?cid=774b29d4f13844c495f206cafdad9c86,3WhgFkAIT2fVZzPUBQYKoU,"['rap', 'hip_hop', 'american']",[],
Wu-Tang: 7th Chamber,Wu-Tang Clan,"rap, 90s, hip_hop",Rap,0.211,0.529,0.4,0.00284,89.369,https://p.scdn.co/mp3-preview/407633b36b9637782877e4c03fe70ac33798d711?cid=774b29d4f13844c495f206cafdad9c86,1X0vtGjqfykviGwiFplnGu,"['rap', '90s', 'hip_hop']",[],
"No Woman, No Cry",Fugees,"soul, rap, 90s, hip_hop, reggae, cover",,0.393,0.552,0.847,0.0152,89.006,https://p.scdn.co/mp3-preview/819be439e45b90b166ece618cf19eea89a20b200?cid=774b29d4f13844c495f206cafdad9c86,0DiPxPapZI0GckqCh7kQUB,"['soul', 'rap', '90s', 'hip_hop', 'reggae', 'cover']",[],
Paul Revere,Beastie Boys,"80s, rap, hip_hop",Rap,0.519,0.683,0.913,0.0204,91.702,https://p.scdn.co/mp3-preview/017cb7fddb4d33de1cd48ebe4921f215995bede8?cid=774b29d4f13844c495f206cafdad9c86,0SwVeYLhHn9k9etm9aNVdL,"['80s', 'rap', 'hip_hop']",[],
ATLiens,OutKast,"rap, 90s, hip_hop",Rap,0.607,0.74,0.915,0.0279,97.049,https://p.scdn.co/mp3-preview/c53855ad6c53c62dff941a950e3e37200aead769?cid=774b29d4f13844c495f206cafdad9c86,0yoF9RT6b62xwoghuYztYK,"['rap', '90s', 'hip_hop']",[],
Hey Ma,Cam'ron,"rap, 90s, hip_hop, rnb, 00s, chill",,0.938,0.666,0.791,0.0256,90.345,https://p.scdn.co/mp3-preview/4ed7fb9b24b5745d9e21fbf4638af820c9dfd6f9?cid=774b29d4f13844c495f206cafdad9c86,0Uhnzk5zI46IRlQ04LNOtc,"['rap', '90s', 'hip_hop', 'rnb', '00s', 'chill']",['chill'],chill
Root Down,Beastie Boys,"rap, hip_hop",,0.91,0.915,0.836,0.325,99.998,https://p.scdn.co/mp3-preview/0a4a805beb9f2306544c2cb329f38f83965fedcb?cid=774b29d4f13844c495f206cafdad9c86,0Elg9Nejr0yFRXPdj5Skj3,"['rap', 'hip_hop']",[],
Bistro,Madvillain,"instrumental, rap, hip_hop, chill",Rap,0.698,0.595,0.368,0.508,89.343,https://p.scdn.co/mp3-preview/47c1589d3219310ce7d00ef1ed84d162783d06fe?cid=774b29d4f13844c495f206cafdad9c86,01XyE7mEn4vFsweW7HNYo8,"['instrumental', 'rap', 'hip_hop', 'chill']",['chill'],chill
Da Rockwilder,Method Man & Redman,"rap, 90s, hip_hop",,0.345,0.725,0.498,0.269,99.962,https://p.scdn.co/mp3-preview/54797d3141988f472153a2b22c0ae20f68cae9af?cid=774b29d4f13844c495f206cafdad9c86,1seu1UVUhuki6XHBAqd1aK,"['rap', '90s', 'hip_hop']",[],
I Wanna Get High,Cypress Hill,"chillout, rap, 90s, hip_hop, chill",Rap,0.332,0.525,0.734,0.0773,81.936,https://p.scdn.co/mp3-preview/de1142f5294cac56d0addface42140c53e6662cc?cid=774b29d4f13844c495f206cafdad9c86,0KHLlCjDTnKYCGcOMNHtbf,"['chillout', 'rap', '90s', 'hip_hop', 'chill']","['chillout', 'chill']",chillout chill
Chum,Earl Sweatshirt,"rap, hip_hop, american",,0.197,0.463,0.503,0.0224,160.725,https://p.scdn.co/mp3-preview/020bf26aaf9d84ede6fceccfb9d4ecda6e8b0223?cid=774b29d4f13844c495f206cafdad9c86,1gDQoB64QlN6ygqkzxbbvD,"['rap', 'hip_hop', 'american']",[],
Just A Friend,Biz Markie,"80s, rap, 90s, hip_hop",Rap,0.837,0.663,0.862,0.12,85.308,https://p.scdn.co/mp3-preview/666e175f61edc1a4e86d382f0de489302d8f9ddb?cid=774b29d4f13844c495f206cafdad9c86,1MQCTOWVfy4PcuBXkBsHVB,"['80s', 'rap', '90s', 'hip_hop']",[],
Grindin',Clipse,"rap, hip_hop",,0.361,0.77,0.592,0.122,191.692,https://p.scdn.co/mp3-preview/e355ae322c728d0507f0ca2b28cf5b720d26214d?cid=774b29d4f13844c495f206cafdad9c86,08GpiEcLrpb8UnkO2hfhOf,"['rap', 'hip_hop']",[],
Curls,Madvillain,"rap, hip_hop",Rap,0.561,0.716,0.533,0.323,89.474,https://p.scdn.co/mp3-preview/48362939353f151ca7b701781055027a520a088e?cid=774b29d4f13844c495f206cafdad9c86,3T06pIOmXJ6EkJmVRN2sv6,"['rap', 'hip_hop']",[],
So Bad,Eminem,"rap, hip_hop",,0.768,0.805,0.771,0.292,81.037,https://p.scdn.co/mp3-preview/e6cb3086f69186854f0f7bb60a9e9f1cc754ae93?cid=774b29d4f13844c495f206cafdad9c86,0R8zDxhP2LaqQTeByPDWiS,"['rap', 'hip_hop']",[],
Petrified,Fort Minor,"rap, hip_hop",,0.525,0.962,0.874,0.201,109.976,https://p.scdn.co/mp3-preview/81992046e7f96438b8e94bccbe1f051459e5d1f3?cid=774b29d4f13844c495f206cafdad9c86,2VEh8dkQgnxiAeHyqlWULl,"['rap', 'hip_hop']",[],
Ruff Ryders Anthem,DMX,"rap, hip_hop",,0.686,0.787,0.609,0.0477,91.031,https://p.scdn.co/mp3-preview/6f4248d6a0ee6e41d378f65dd6b7b260778060ef?cid=774b29d4f13844c495f206cafdad9c86,00WvCFhrZ6OmSMdrmnyYo4,"['rap', 'hip_hop']",[],
Mathematics,Mos Def,"rap, hip_hop",Pop,0.832,0.749,0.753,0.0285,93.79,https://p.scdn.co/mp3-preview/9055c1de374c2cd6da967d81b6df88612f27abff?cid=774b29d4f13844c495f206cafdad9c86,32W1K50AaXGXoRBn3Zyax4,"['rap', 'hip_hop']",[],
(Rock) Superstar,Cypress Hill,"rap, hip_hop",Rap,0.412,0.961,0.407,0.0155,94.335,https://p.scdn.co/mp3-preview/ceb0c7a8dcda52998af02797a85e9af0f66109e4?cid=774b29d4f13844c495f206cafdad9c86,01mxuaWnvB74PO2IRT9M74,"['rap', 'hip_hop']",[],
Figaro,Madvillain,"rap, hip_hop",Rock,0.78,0.799,0.836,0.196,92.005,https://p.scdn.co/mp3-preview/bba567f1ed6e54e86c98a1a4fe3d31509aab1817?cid=774b29d4f13844c495f206cafdad9c86,3iKZJnZqHL42a2768OHNNZ,"['rap', 'hip_hop']",[],
Sabrosa,Beastie Boys,"instrumental, chillout, rap, 90s, hip_hop, funk, american, chill",,0.859,0.702,0.723,0.0309,158.828,https://p.scdn.co/mp3-preview/a2b0c5bf80f9aaa33d5d997ac270b6c5c4055e30?cid=774b29d4f13844c495f206cafdad9c86,0gab1KLoFSkKOfeN7Z4FPG,"['instrumental', 'chillout', 'rap', '90s', 'hip_hop', 'funk', 'american', 'chill']","['chillout', 'chill']",chillout chill
Shake That,Eminem,"dance, rap, hip_hop, 00s",,0.534,0.643,0.963,0.0507,107.005,https://p.scdn.co/mp3-preview/277803e352fad3ff50eb46bb21f1ebb9e19f51e8?cid=774b29d4f13844c495f206cafdad9c86,0fGh0trRN1xz3s41r7V5ce,"['dance', 'rap', 'hip_hop', '00s']",['dance'],dance
Let's Get It Started,Black Eyed Peas,"pop, dance, rap, hip_hop, funk, american, rnb, 00s",,0.82,0.753,0.784,0.108,104.989,https://p.scdn.co/mp3-preview/288624aacad8da2fee068eca87512d8ba93733d7?cid=774b29d4f13844c495f206cafdad9c86,04r0ruUBUUXnPIu5IED7d5,"['pop', 'dance', 'rap', 'hip_hop', 'funk', 'american', 'rnb', '00s']",['dance'],dance
Make Some Noise,Beastie Boys,"rap, hip_hop",,0.603,0.886,0.718,0.0199,98.079,https://p.scdn.co/mp3-preview/307cde1b07930e6097e632220cf6e57158cfb201?cid=774b29d4f13844c495f206cafdad9c86,1bpSdaAkaeglMww8pd7KLF,"['rap', 'hip_hop']",[],
U Don't Have To Call,Usher,"soul, hip_hop, rnb",Jazz,0.801,0.57,0.787,0.0479,100.002,https://p.scdn.co/mp3-preview/10b10ae9e510813b5dd4490d0f068d959fc852d8?cid=774b29d4f13844c495f206cafdad9c86,18ixfze8UzuaxPy7ut1OJs,"['soul', 'hip_hop', 'rnb']",[],
I'm Back,Eminem,"rap, hip_hop, 00s",,0.851,0.595,0.878,0.0146,89.995,https://p.scdn.co/mp3-preview/8ce926fd005e249d4f8044d817e8930f5c6cfcac?cid=774b29d4f13844c495f206cafdad9c86,09fxNZHufbdOdoMwx5BJLo,"['rap', 'hip_hop', '00s']",[],
Love In This Club,Usher,"pop, dance, soul, hip_hop, rnb",,0.371,0.746,0.584,0.0477,139.952,https://p.scdn.co/mp3-preview/1a417174390e75810926adab0df8b10a6ec78b3c?cid=774b29d4f13844c495f206cafdad9c86,0DBO0VzSDAFwrJRBOH36JA,"['pop', 'dance', 'soul', 'hip_hop', 'rnb']",['dance'],dance
Blame Game,Kanye West,"rap, hip_hop",Rap,0.683,0.582,0.571,0.295,85.212,https://p.scdn.co/mp3-preview/8c43ab646501712a91b1a4e3ff2be879b6a704de?cid=774b29d4f13844c495f206cafdad9c86,44eEonOPSz9JH96PonieY9,"['rap', 'hip_hop']",[],
Ass Like That,Eminem,"rap, hip_hop",Rap,0.676,0.796,0.646,0.409,83.093,https://p.scdn.co/mp3-preview/e4b8d632785d9ed0d4b0c556d835c325507e1432?cid=774b29d4f13844c495f206cafdad9c86,0avjVeujL8PYfm8tKKszLH,"['rap', 'hip_hop']",[],
One Call Away,Chingy,"rap, hip_hop, rnb, love",,0.962,0.794,0.756,0.101,162.513,https://p.scdn.co/mp3-preview/52ede6b5fbf8432cd3087ff597c1013ebc825e57?cid=774b29d4f13844c495f206cafdad9c86,0iLQD1crSKM5yZAvu4wuax,"['rap', 'hip_hop', 'rnb', 'love']",['love'],love
Put It On,Big L,"rap, 90s, hip_hop",,0.802,0.619,0.711,0.0179,179.776,https://p.scdn.co/mp3-preview/0b97d437197b7a081b27d77ed1b8ccb28c60644c?cid=774b29d4f13844c495f206cafdad9c86,0DpzeV4vh82kXnPyO6QVqg,"['rap', '90s', 'hip_hop']",[],
Change Clothes,Jay-Z,"rap, hip_hop, 00s",,0.336,0.627,0.891,0.0416,104.013,https://p.scdn.co/mp3-preview/d3599b06a399372a548525135ba40d6d81229405?cid=774b29d4f13844c495f206cafdad9c86,1OCre7xil1ym1eXXC4rEM6,"['rap', 'hip_hop', '00s']",[],
Duffle Bag Boy,Playaz Circle,"rap, hip_hop",,0.685,0.65,0.66,0.0543,143.922,https://p.scdn.co/mp3-preview/eb27da5e71f88fdfb24a3bc3bcac24f8f1d7046b?cid=774b29d4f13844c495f206cafdad9c86,09lqmgrszQIGrS5tFlrmhE,"['rap', 'hip_hop']",[],
Fast Lane,Bad Meets Evil,"rap, hip_hop",,0.382,0.868,0.691,0.0472,86.878,https://p.scdn.co/mp3-preview/65534ec20092bc8682b25a60b5581c50056547d8?cid=774b29d4f13844c495f206cafdad9c86,053GCeKA2Vw5PwF2dGkt03,"['rap', 'hip_hop']",[],
LoveStoned/I Think She Knows Interlude,Justin Timberlake,"pop, dance, hip_hop, rnb, male_vocalists",,0.852,0.681,0.859,0.34,121.243,https://p.scdn.co/mp3-preview/6996de3cada0ca279c4854254dd1969a3ab60379?cid=774b29d4f13844c495f206cafdad9c86,08tFZPIW0NJirtiGgilhGo,"['pop', 'dance', 'hip_hop', 'rnb', 'male_vocalists']",['dance'],dance
Why We Thugs,Ice Cube,"rap, hip_hop",Rap,0.724,0.671,0.585,0.333,88.536,https://p.scdn.co/mp3-preview/ce881c49dee04e9853475b1aeeaed197fadbacf7?cid=774b29d4f13844c495f206cafdad9c86,05qMyMex2vXlX9FIgoebkt,"['rap', 'hip_hop']",[],
So Good,B.o.B,"pop, rap, hip_hop",Rap,0.558,0.916,0.394,0.0373,85.393,https://p.scdn.co/mp3-preview/2f13af9d55e750ea773daa76654ed735a2022fbb?cid=774b29d4f13844c495f206cafdad9c86,00UsuKxjk7jfWiBgK99SCQ,"['pop', 'rap', 'hip_hop']",[],
Hangover,Taio Cruz,"pop, dance, hip_hop",,0.601,0.874,0.58,0.00677,128.049,https://p.scdn.co/mp3-preview/c871caed84d1f8f38430c8abf933ad66ee28634d?cid=774b29d4f13844c495f206cafdad9c86,06tpg9p4N5pquoj2wO1cPT,"['pop', 'dance', 'hip_hop']",['dance'],dance
Gimme Some More,Busta Rhymes,"rap, 90s, hip_hop",,0.787,0.854,0.655,0.00811,136.451,https://p.scdn.co/mp3-preview/b3338d63b55992fde509fcb3b467ad948640c41c?cid=774b29d4f13844c495f206cafdad9c86,2ngibb5pD1LIWn2K0krE4p,"['rap', '90s', 'hip_hop']",[],
Like Glue,Sean Paul,"dance, rap, hip_hop, reggae",,0.582,0.811,0.775,0.0764,97.906,https://p.scdn.co/mp3-preview/60b3239394de896716595455b9f65acbda1aab7d?cid=774b29d4f13844c495f206cafdad9c86,0hjPtsmZSI79iGBtvc2sva,"['dance', 'rap', 'hip_hop', 'reggae']",['dance'],dance
Fake Love,Drake,"rap, hip_hop, rnb",Rap,0.718,0.544,0.923,0.18,133.911,https://p.scdn.co/mp3-preview/430cc7a865f1a7c8017c1fb3393b7315192d5b41?cid=774b29d4f13844c495f206cafdad9c86,0xI5YxOVMo2eEY0qE1VDtM,"['rap', 'hip_hop', 'rnb']",[],
Hip Hop Hooray,Naughty By Nature,"rap, 90s, hip_hop",,0.779,0.889,0.867,0.127,99.2,https://p.scdn.co/mp3-preview/421073a510d66362f4646fbd1799a727c9e01749?cid=774b29d4f13844c495f206cafdad9c86,09OvYjPaZV9Kpp8lT4z0nl,"['rap', '90s', 'hip_hop']",[],
There It Go (The Whistle Song),Juelz Santana,"dance, rap, hip_hop, 00s",Rap,0.595,0.892,0.942,0.023,100.007,https://p.scdn.co/mp3-preview/b30a27e2cee235ca49293d30e6ebcf1584dd652d?cid=774b29d4f13844c495f206cafdad9c86,0jRWHt3UuKdgIAVyPO6EWw,"['dance', 'rap', 'hip_hop', '00s']",['dance'],dance
Imma Star (Everywhere We Are),Jeremih,"soul, hip_hop, rnb",,0.594,0.357,0.662,0.428,148.021,https://p.scdn.co/mp3-preview/3326d91e1ab71ea7f790ae4309bb17270179174d?cid=774b29d4f13844c495f206cafdad9c86,0Tfg6pSVAZWcvV40W6fsbR,"['soul', 'hip_hop', 'rnb']",[],
Gangsta Gangsta,N.W.A,"80s, rap, hip_hop",,0.725,0.789,0.857,0.0194,98.086,https://p.scdn.co/mp3-preview/1cbede8c9a99997b21049dfb6c5bfcf4028bc842?cid=774b29d4f13844c495f206cafdad9c86,09gJISyp00nINpY1U8UQIQ,"['80s', 'rap', 'hip_hop']",[],
Buzzin',Shwayze,"chillout, rap, hip_hop, mellow, chill",Rap,0.32,0.582,0.85,0.0181,93.028,https://p.scdn.co/mp3-preview/debcde62fbe35bf0f33d4faf922e449ffe3b386d?cid=774b29d4f13844c495f206cafdad9c86,11XK2YkLHsCwrLx3VdTHFM,"['chillout', 'rap', 'hip_hop', 'mellow', 'chill']","['chillout', 'mellow', 'chill']",chillout mellow chill
Road To Zion,Damian Marley,"hip_hop, reggae",,0.432,0.696,0.755,0.123,93.683,https://p.scdn.co/mp3-preview/9731e895dca23ce18dba03c9bb60571c3ea2f127?cid=774b29d4f13844c495f206cafdad9c86,0BEEASlZ9ZCLYA4NBtPor8,"['hip_hop', 'reggae']",[],
Informer,Snow,"dance, rap, 90s, hip_hop, reggae",,0.618,0.957,0.687,0.0515,98.173,https://p.scdn.co/mp3-preview/fbc7d916733cd5002982d85af7abcaab72cff4d3?cid=774b29d4f13844c495f206cafdad9c86,000B7HSBGg4gQbHkZu7H3w,"['dance', 'rap', '90s', 'hip_hop', 'reggae']",['dance'],dance
Butterfly Effect,Travi$ Scott,"rap, hip_hop",,0.182,0.598,0.763,0.0714,140.987,https://p.scdn.co/mp3-preview/ca4f131887eae894020e48ea809af1186c95f542?cid=774b29d4f13844c495f206cafdad9c86,1yxgsra98r3qAtxqiGZPiX,"['rap', 'hip_hop']",[],
The Coolest,Lupe Fiasco,"rap, hip_hop, chill",,0.345,0.883,0.493,0.632,88.533,https://p.scdn.co/mp3-preview/21720a68328f93391d31a934e3c61f7e5233a8b1?cid=774b29d4f13844c495f206cafdad9c86,0wC2m3XGyyeMi8nyunq4AG,"['rap', 'hip_hop', 'chill']",['chill'],chill
Strange Ways,Madvillain,"rap, hip_hop",,0.511,0.809,0.32,0.739,89.692,https://p.scdn.co/mp3-preview/9fff015cfc338fce4576d1e87cfcf2be7041bdd5?cid=774b29d4f13844c495f206cafdad9c86,0Shov8sKo85de54ZthCdc2,"['rap', 'hip_hop']",[],
Valley Of Death,Rick Ross,"rap, hip_hop",Metal,0.459,0.715,0.642,0.0275,89.758,https://p.scdn.co/mp3-preview/b872431ddd3d41a1be182e7951e7206df3372922?cid=774b29d4f13844c495f206cafdad9c86,1r1aKtcqzH0YT1jpZVfqfD,"['rap', 'hip_hop']",[],
Give It To Me,Timbaland,"dance, rap, hip_hop, rnb, 00s",,0.815,0.711,0.975,0.168,110.621,https://p.scdn.co/mp3-preview/d7fdfc025e73dd270e62aaa763b1f59849fbfad6?cid=774b29d4f13844c495f206cafdad9c86,0wbDgMuAoy7O7pL3a69uZx,"['dance', 'rap', 'hip_hop', 'rnb', '00s']",['dance'],dance
Runnin',The Pharcyde,"rap, 90s, hip_hop, chill",RnB,0.84,0.803,0.761,0.0294,94.122,https://p.scdn.co/mp3-preview/ef355d8006089ddaa7f17b954cfdfd0c0315531b?cid=774b29d4f13844c495f206cafdad9c86,0VpTedd0XmzB0O1Eb2kvUR,"['rap', '90s', 'hip_hop', 'chill']",['chill'],chill
Kiss Kiss,Chris Brown,"hip_hop, rnb, male_vocalists",,0.612,0.526,0.765,0.0212,140.06,https://p.scdn.co/mp3-preview/51a0dccc90d5bda1199bcdeec1d9dd33b2a1148c?cid=774b29d4f13844c495f206cafdad9c86,0C5HwaRTq6LtW7tviHYMNn,"['hip_hop', 'rnb', 'male_vocalists']",[],
Passing Me By,The Pharcyde,"rap, 90s, hip_hop",Rap,0.624,0.882,0.732,0.33,87.092,https://p.scdn.co/mp3-preview/c52db149bd961e8847eca7b01e0a9f0e40cd76d4?cid=774b29d4f13844c495f206cafdad9c86,0XDxLYKuoSGhGAXkFlla8w,"['rap', '90s', 'hip_hop']",[],
Let's Get Blown,Snoop Dogg,"chillout, rap, hip_hop, chill",Rap,0.694,0.621,0.94,0.402,106.001,https://p.scdn.co/mp3-preview/3a81c0622f51bd1a2ecd000ed2e4b64e850c3786?cid=774b29d4f13844c495f206cafdad9c86,0NdxbFFknA7kQ4E2zvJfey,"['chillout', 'rap', 'hip_hop', 'chill']","['chillout', 'chill']",chillout chill
None Shall Pass,Aesop Rock,"rap, hip_hop",,0.589,0.654,0.711,0.198,115.982,https://p.scdn.co/mp3-preview/e94fe85945c165d0731fcc8adc1abd2e65a849b3?cid=774b29d4f13844c495f206cafdad9c86,0nTu9CMGmrc4ZO2UbCflSJ,"['rap', 'hip_hop']",[],
Provider,N*E*R*D,"chillout, rap, hip_hop, rnb, love, 00s, mellow, chill",Reggae,0.583,0.781,0.699,0.242,79.988,https://p.scdn.co/mp3-preview/4bd808e8fff7f68ee19801a3491a1f3bf5c5214f?cid=774b29d4f13844c495f206cafdad9c86,0319szB8GkRiIoUicj0p4h,"['chillout', 'rap', 'hip_hop', 'rnb', 'love', '00s', 'mellow', 'chill']","['chillout', 'love', 'mellow', 'chill']",chillout love mellow chill
Butter,A Tribe Called Quest,"rap, 90s, hip_hop, chill",Rap,0.465,0.381,0.728,0.0316,92.051,https://p.scdn.co/mp3-preview/9b7344f0064e93091b02685ad17e8dab87880c8d?cid=774b29d4f13844c495f206cafdad9c86,758mQT4zzlvBhy9PvNePwC,"['rap', '90s', 'hip_hop', 'chill']",['chill'],chill
Moment Of Truth,Gang Starr,"rap, hip_hop",,0.583,0.826,0.534,0.0136,90.173,https://p.scdn.co/mp3-preview/a6a2a74c22068bfc0516eaa9ed7f76cd5ac9dcdc?cid=774b29d4f13844c495f206cafdad9c86,0GGRvDgOFpg1aOiyKDZIZC,"['rap', 'hip_hop']",[],
I Can,Nas,"rap, hip_hop, piano",,0.697,0.847,0.835,0.0963,95.305,https://p.scdn.co/mp3-preview/90a4614b2af599494acdcbcad0a05e4f01d18b9d?cid=774b29d4f13844c495f206cafdad9c86,0HezZ8wzjSWptHhIqpjHhl,"['rap', 'hip_hop', 'piano']",[],
Until the End of Time,Justin Timberlake,"pop, dance, soul, hip_hop, rnb, love",,0.388,0.402,0.798,0.216,119.857,https://p.scdn.co/mp3-preview/6fa3eddbfd623b7c9e23d8248f7abdba20e88c07?cid=774b29d4f13844c495f206cafdad9c86,1Re8JXNswaCfxV2Jn0d3AX,"['pop', 'dance', 'soul', 'hip_hop', 'rnb', 'love']","['dance', 'love']",dance love
Damn Thing,Wiz Khalifa,"rap, hip_hop",,0.475,0.647,0.817,0.000325,140.091,https://p.scdn.co/mp3-preview/84cfa0dfa5e152b045235502b1288785b375afbc?cid=774b29d4f13844c495f206cafdad9c86,2Mu4w4XwbNrCCGyDGArhCj,"['rap', 'hip_hop']",[],
Hip Hop,Mos Def,"rap, hip_hop",,0.794,0.861,0.592,0.024,90.238,https://p.scdn.co/mp3-preview/f5b5c3469e95efc18eb80abb67896970a72d3cf1?cid=774b29d4f13844c495f206cafdad9c86,4gQdwwPXSXnDkUh4jYqLoC,"['rap', 'hip_hop']",[],
Great Day,Madvillain,"rap, hip_hop, trip_hop, 00s, chill",Rap,0.584,0.684,0.453,0.669,86.564,https://p.scdn.co/mp3-preview/8fd48594c11ec2e3111971a0a5eead7a6b2962b1?cid=774b29d4f13844c495f206cafdad9c86,5ByWcJvnDYkk9bhUWmi9I7,"['rap', 'hip_hop', 'trip_hop', '00s', 'chill']",['chill'],chill
